RUTA	PROMEDIO	NORMALIZADO	DESV ESTANDAR	Comunas													
CONVIVIR-MODELO-UIS	63,32477778	2%	31,5116778	1	4	3	5	15	13						Comuna	Conteo	Normalizado
BUENAVISTA MORRORICO-CARRERA 9-CANELOS-INEM	121,7496296	3%	13,18164308	14	14	8	8	10							1	11	4%
LA JOYA-CENTRO-BUENAVISTA	20,15048148	0%	23,90396846	5	15	14									2	1	0%
DON BOSCO-CARRERA 33- REAL DE MINAS	95,1805	2%	23,29832457	4	15	13	12	6	7						3	24	10%
ALTOS DEL CARRIZAL-CALLE 45- CABECERRA-PORTON DEL TEJAR-CAMPANAZO	113,1089815	3%	14,33675256	5	12	16									4	18	7%
JOYA-UIS-CARRERA 33- LA VICTORIA	44,31448148	1%	12,12811359	5	15	3	13	12	16						5	9	4%
LIMONCITO	118,637537	3%	20,45978444	16	12	13									6	27	11%
BUENAVISTA – UIS 	99,22222222	2%	170,8941708	14	13	3									7	15	6%
TRINIDAD TERRAZAS-AV QUEDRADA SECA-SAN MIGUEL	52,10066667	1%	8,123543086	16	12	13	15	6							8	18	7%
QUINTA ESTRELLA-REAL DE MINAS-REPOSO	50,26781481	1%	19,50911349	5	6	12	7	17	11	10	9	16			9	11	4%
BAHONDO -RINCON-CARRERA 33	151,5880185	4%	12,61584908	17	8	9	12	13	3						10	5	2%
BAVARIA-CAFE-REAL DE MINAS-MUTIS	43,51298148	1%	23,02595064	1	3	15	6								11	2	1%
LA FERIA-CENTRO-UIS	9,589962963	0%	6,118402804	4	15	13	12	6							12	26	10%
PUENTE TIERRA-CIUDAD VALENCIA	100,2132963	2%	22,5140123	1	4	3	13	12	9						13	26	10%
BOSCONIA-LOS ANGELES-CHAPINERO- CENTRO-REAL DE MINAS	41,93898148	1%	24,12812993	2	3	15	6	7	8	10					14	4	2%
HAMACAS-CARRERA 33- REPOSO	107,2442037	3%	9,496505865	1	3	4	13	12	16						15	24	10%
CAFE - INEM	59,38122222	1%	15,6874257	1	3	4	13	12	9	10					16	11	4%
VALENCIA - LA CANASTA	1,205907407	0%	3,672720848	0	0	0	0	0	0						17	20	8%
MONTERREDONDO-CARRERA 33 - VILLA ROSA	72,39651852	2%	24,75006701	1	3	13	12	6	8							252	100%
PABLON-CARRERA 33- ESTORAQUES	147,0451296	3%	32,68212638	1	4	3	13	12	6	7	17						
MARIA PAZ - CANELOS - MONTERREDONDO	18,11705556	0%	9,931087247	1	4	3	15	6	8	7	17						
VILLA ROSA - REAL DE MINAS - INEM	72,88031481	2%	98,34689907	1	4	15	6	7	17	8	11	10					
COLORADOS-REAL DE MINAS- MUTIS	112,2347407	3%	28,56546796	1	4	3	15	6	7	17							
BETANIA - REAL DE MINAS - INEM	36,37016667	1%	26,67141285	0	0	0	0	0									
CUMBRE-EL CARMEN-TRANSVERSAL-CARRERA 33-PINOS	131,6920741	3%	23,44560393	16	12	13	3										
CARACOLI -  CARRETERA ANTIGUA - CARRERA 33 - CENTRO	119,4362037	3%	31,54083149	0	0	0	0	0	0								
LAURELES - OASIS - REPOSO - CARRETERA ANTIGUA - GONZALES VALENCIA - CARRERA 16 - CENTRO	102,1325	2%	17,06008674	9	12	15											
CUMBRE - REPOSO - CARRERA 36	132,3327963	3%	20,71132906	17	7	6	12	13									
ESTORAQUES - PINOS	77,80068519	2%	17,89420698	17	7	6	15	13	3								
MIRADOR DE ARENALES - POBLADO - CENTRO - CARRERA 22	78,97018519	2%	6,533723943	17	8	9	6										
BAHONDO - CARRERA 33	110,2120741	3%	21,64761868	17	8	6	12	13	3	4	15	6					
BELLAVISTA - POBLADO - REAL DE MINAS - UIS	65,91288889	2%	13,65150448	17	8	7	6	15	4	3							
CARACOLI	70,87924074	2%	12,27194475	16	12	13	15	5									
BAHONDO-POBLADO-CALLE 45-CARRERA 33	120,5088704	3%	16,58598862	5	12	13											
BAHONDO - RINCON - REAL DE MINAS - UIS	39,2927963	1%	9,428323638	17	7	6	15	4	3	13							
BRISAS DEL CAMPO - RINCON - UIS	130,0189259	3%	12,00164298	17	8	9	6	15	3	13							
CAFE - PALENQUE - PUERTA DEL SOL - UIS	18,17716667	0%	3,094815066	1	4	5	17	8	9	6	15	4	3				
BRISAS DEL CAMPO - RINCON - REAL DE MINAS - UIS	91,20622222	2%	7,604942662	17	8	7	6	15	4	13							
CAMPINA - POBLADO - CARRERA 33 	92,98781481	2%	8,957043837	17	8	6	12	13	3								
CARACOLI - TRANSVERSAL ORIENTAL – HIPINTO - CARRERA 21 - CENTRO	89,10653704	2%	24,93168304	16	9	12	6	15									
LA MESETA - RINCÓN DE GIRON  - REAL DE MINAS - CENTRO - UIS	44,84268519	1%	14,36087238	17	8	7	6	15	4	3							
LA MESETA - POBLADO  - REAL DE MINAS - CENTRO - UIS - CARRERA 33	43,22107407	1%	20,1509492	5	15	4											
FLORIDA  - TERMINAL - GIRON	143,0817778	3%	13,48618613	0	0	0	0	0	0								
MIRADOR DE  ARENALES - POBLADO - REAL DE MINAS - CARRERA 36 - UIS	67,72816667	2%	10,20513055	17	8	7	6	12	13	3							
BRISAS DEL CAMPO - POBLADO - REAL DE MINAS - UIS	69,38664815	2%	15,10317581	17	8	7	12										
MIRADOR DE ARENALES - POBLADO - RINCON - FLORIDABLANCA	35,17398148	1%	14,19357005	0	0	0	0	0	0	0							
CARRIZAL - CARRERA 33	13,33585185	0%	15,29763063	17	8	6	12	13	3								
PIEDECUESTA - ANILLO VIAL - GIRON - KENNEDY	153,3876852	4%	32,11230984	0	0	0	0	0	0	0							
PIEDECUESTA - FLORIDABLANCA - CARRETERA ANTIGUA - CARRERA 33	202,4490185	5%	44,54493332	16	9	12	13										
PIEDECUESTA - FLORIDABLANCA - CARRETERA ANTIGUA - CARRERA 21	215,4472963	5%	34,54732932	16	9	6	15	12									
	4210,496759	100%															